"","symbol","date","open","high","low","close","volume","adjusted","ma7","ma200","RSI"
"1","ETH-USD",2019-01-01,133.418152,141.397507,132.650711,140.819412,2258709868,140.819412,NA,NA,NA
"2","ETH-USD",2019-01-02,141.519516,156.929138,140.650955,155.047684,3328240369,155.047684,NA,NA,NA
"3","ETH-USD",2019-01-03,155.196045,155.863052,147.198364,149.13501,2676164880,149.13501,NA,NA,NA
"4","ETH-USD",2019-01-04,148.912888,156.878983,147.907104,154.58194,3126192535,154.58194,NA,NA,NA
"5","ETH-USD",2019-01-05,154.337418,160.82489,154.337418,155.638596,3338211928,155.638596,NA,NA,NA
"6","ETH-USD",2019-01-06,155.80423,159.371445,152.085922,157.746201,3231294371,157.746201,NA,NA,NA
"7","ETH-USD",2019-01-07,157.809494,158.450424,151.150726,151.699219,2712108388,151.699219,152.095437428571,NA,NA
"8","ETH-USD",2019-01-08,151.967545,153.625778,148.66954,150.359634,2459808140,150.359634,153.458326285714,NA,NA
"9","ETH-USD",2019-01-09,150.554688,153.622253,150.288376,150.803116,2369241197,150.803116,152.851959428571,NA,NA
"10","ETH-USD",2019-01-10,150.843506,152.14827,126.529373,128.625183,3397734456,128.625183,149.921984142857,NA,NA
"11","ETH-USD",2019-01-11,127.813965,130.165939,125.244942,127.548325,2667585234,127.548325,146.060039142857,NA,NA
"12","ETH-USD",2019-01-12,127.528084,128.666122,125.446754,125.96653,2212109224,125.96653,141.821172571429,NA,NA
"13","ETH-USD",2019-01-13,125.907227,126.267876,116.085968,116.897804,2268263944,116.897804,135.985687285714,NA,NA
"14","ETH-USD",2019-01-14,116.979095,130.856735,116.96756,129.068726,2798085735,129.068726,132.752759714286,NA,NA
"15","ETH-USD",2019-01-15,129.172684,130.743561,120.311523,122.032715,2735449164,122.032715,128.706057,NA,39.5273893871962
"16","ETH-USD",2019-01-16,121.809242,127.118248,121.441414,123.547066,2746469340,123.547066,124.812335571429,NA,40.6072780510881
"17","ETH-USD",2019-01-17,123.57354,124.270721,120.817032,123.74192,2594091285,123.74192,124.114726571429,NA,40.7538826584702
"18","ETH-USD",2019-01-18,123.654655,123.84169,120.241898,121.010262,2305389800,121.010262,123.180717571429,NA,39.2897015374507
"19","ETH-USD",2019-01-19,121.614426,125.904228,121.161034,124.51902,3048261797,124.51902,122.973930428571,NA,42.1640250466818
